userPrincipalName,status.failureReason,correlationId,userId,createdDateTime,ipAddress,status.errorCode,appDisplayName,userAgent,location.countryOrRegion,simulatedAttack,authenticationDetails.0.authenticationStepResultDetail
account2@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,5ab5bf83-9809-4857-8e2e-141dcda691df,6d68bbbe-5860-4705-b817-e24b324c4ab5,2023-07-04 07:50:01+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account19@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,aa6b6848-f075-4de1-b035-ed2b5ec36460,8cf6c13f-912c-43da-b897-0401d085a04a,2023-07-04 08:19:49+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account14@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,eb0fbfa0-fc3e-4f2d-a75b-a08d05640257,2d81e333-496b-4bae-8e99-a5b4a05a1a48,2023-07-04 08:36:01+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account15@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,654ac918-18e8-4904-baaf-d0187d89dc1c,2ef6cbe4-484e-4b3e-aaea-9f8de711ef46,2023-07-04 08:47:15+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account16@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,09e6ab3f-2e72-4187-b136-c0b5ac76bf4c,35cc84d3-db28-497b-8cca-451dc24db7ca,2023-07-04 09:03:27+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account13@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,04054b44-3940-43cb-b025-7ff5fb99f316,ff22d6b1-98c6-4e7f-868e-d32b6b7b6f0a,2023-07-04 09:17:09+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account2@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,54c18bc3-c45b-4e7b-8cb3-575431a6fb09,6d68bbbe-5860-4705-b817-e24b324c4ab5,2023-07-04 09:56:22+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account19@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,43f1e41d-3c3d-40c1-84d0-3e5392f5da46,8cf6c13f-912c-43da-b897-0401d085a04a,2023-07-04 10:15:15+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account14@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,42c600d0-ef9f-4de9-ab3c-ad968c0e39fd,2d81e333-496b-4bae-8e99-a5b4a05a1a48,2023-07-04 10:37:17+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
account15@mythesisazuread.onmicrosoft.com,Invalid username or password or Invalid on-premise username or password.,8f936d17-972e-4204-b05a-8f845b62bfb8,2ef6cbe4-484e-4b3e-aaea-9f8de711ef46,2023-07-04 10:50:28+00:00,93.189.221.163,50126,Office 365 Exchange Online,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.2364,RU,PasswordSprayLowFrequency,Invalid username or password or Invalid on-premise username or password.
